,Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
0,0,385687,Fast X,2023-05-17,"['Action', 'Crime', 'Thriller']",English,7.4,1347.0,8363.473,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",340000000.0,"['Universal Pictures', 'Original Film', 'One Race', 'Perfect Storm Entertainment']",652000000.0,142.0,The end of the road begins.
1,1,603692,John Wick: Chapter 4,2023-03-22,"['Action', 'Thriller', 'Crime']",English,7.9,2896.0,4210.313,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",90000000.0,"['Thunder Road', '87Eleven', 'Summit Entertainment', 'Studio Babelsberg']",431769198.0,170.0,"No way back, one way out."
3,3,569094,Spider-Man: Across the Spider-Verse,2023-05-31,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.8,1160.0,2859.047,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",100000000.0,"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Lord Miller', 'Pascal Pictures', 'Arad Productions']",313522201.0,140.0,It's how you wear the mask that matters
4,4,536437,Hypnotic,2023-05-11,"['Mystery', 'Thriller', 'Science Fiction']",English,6.5,154.0,2654.854,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,70000000.0,"['Studio 8', 'Solstice Productions', 'Ingenious Media', 'Double R Productions']",0.0,94.0,Control is an illusion.
5,5,667538,Transformers: Rise of the Beasts,2023-06-06,"['Action', 'Adventure', 'Science Fiction']",English,7.4,195.0,2453.807,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",200000000.0,"['Skydance', 'Paramount', 'di Bonaventura Pictures', 'Bay Films', 'New Republic Pictures', 'Tom DeSanto/Don Murphy Production', 'Hasbro']",171045464.0,127.0,Unite or fall.
6,6,890771,The Black Demon,2023-04-26,"['Horror', 'Thriller']",English,6.5,151.0,1777.2,"Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",0.0,"['Mucho Mas Media', 'Silk Mass', 'The Avenue Entertainment', 'Highland Film Group']",0.0,100.0,Nature bites back.
7,7,447277,The Little Mermaid,2023-05-18,"['Adventure', 'Family', 'Fantasy', 'Romance']",English,6.2,616.0,1448.64,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",250000000.0,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",414000000.0,135.0,"Watch and you'll see, some day I'll be, part of your world!"
8,8,76600,Avatar: The Way of Water,2022-12-14,"['Science Fiction', 'Adventure', 'Action']",English,7.7,8493.0,1344.884,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",460000000.0,"['20th Century Studios', 'Lightstorm Entertainment']",2320250281.0,192.0,Return to Pandora.
9,9,713704,Evil Dead Rise,2023-04-12,"['Thriller', 'Horror']",English,7.1,1597.0,1285.781,"Three siblings find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.""",15000000.0,"['New Line Cinema', 'Ghost House Pictures', 'Renaissance Pictures', 'Pacific Renaissance Pictures', 'Wild Atlantic Pictures']",141512122.0,96.0,Mommy loves you to death.
10,10,1018494,Operation Seawolf,2022-10-07,"['War', 'Thriller', 'Action', 'Adventure', 'Mystery', 'Science Fiction', 'Drama']",English,6.0,41.0,1269.136,"During the last days of World War II, Germany, desperate for any last grasp to defeat the allied powers, looked to their last remaining weapons and soldiers. The German Navy and the last remaining U-Boats were formed together for one desperate last mission – a mission to attack the United States Homeland, known as Operation Seawolf. Captain Hans Kessler, a grizzled submarine commander from both World Wars, is called into service to make one mission a success and help turn the tide of the war.",15000.0,['Relis Pic'],23000.0,86.0,Last mission to win this war.
11,11,447365,Guardians of the Galaxy Vol. 3,2023-05-03,"['Science Fiction', 'Adventure', 'Action']",English,8.1,1932.0,1262.366,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",250000000.0,"['Marvel Studios', 'Kevin Feige Productions']",805801000.0,150.0,Once more with feeling.
13,13,640146,Ant-Man and the Wasp: Quantumania,2023-02-15,"['Action', 'Adventure', 'Science Fiction']",English,6.5,3229.0,1167.79,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",200000000.0,"['Marvel Studios', 'Kevin Feige Productions']",475766228.0,125.0,Witness the beginning of a new dynasty.
14,14,840326,Sisu,2023-01-27,"['Action', 'War']",Finnish,7.4,656.0,1146.052,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",6200000.0,"['Subzero Film Entertainment', 'Good Chaos', 'Stage 6 Films']",10568631.0,91.0,Vengeance is golden.
15,15,879444,Accident Man: Hitman's Holiday,2022-10-14,"['Action', 'Comedy', 'Crime']",English,6.6,79.0,1117.559,"The Accident Man is back, and this time he must best the top assassins in the world to protect the ungrateful son of a mafia boss, save the life of his only friend and rekindle his relationship with his maniacal father figure.",0.0,['Six Demon Films'],0.0,96.0,A vacation to die for.
16,16,758323,The Pope's Exorcist,2023-04-05,"['Horror', 'Thriller']",English,7.2,1375.0,1037.514,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",18000000.0,"['Screen Gems', '2.0 Entertainment', 'Jesus & Mary', 'Worldwide Katz', 'Loyola Productions', 'FFILME.RO']",70204828.0,103.0,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican."
17,17,1073140,The Three Musketeers,2023-03-23,"['Action', 'Adventure']",English,5.4,25.0,988.223,"France is in turmoil and a new, naive King finds himself manipulated by the evil Cardinal Richelieu. With a corrupt commander of the royal guard by his side the Cardinal employs the expertise of the devious and wicked Milady de Winter in a plot to bring down the monarchy and drag the country into war. As France burns the Cardinal will take control. All that stands between them and victory are the remnants of an elite group who wore loyalty to crown and country. Above all else The Musketeers will stand against the odds to foil this deadly plot.",0.0,[],0.0,94.0,All for one and one for all.
18,18,1107872,Mother's Day,2023-05-24,"['Thriller', 'Drama', 'Action']",Polish,6.0,94.0,969.714,"Nina, a former NATO special operations agent living in hiding, has to use all her deadly skills to rescue her son who has been kidnapped by ruthless gangsters. Finding Max is a double opportunity for her. A chance to feel the adrenaline rush again, and an opportunity to get back into the life of the son she had to abandon years ago.",0.0,['Akson Studio'],0.0,94.0,Don't mess with mother.
20,20,799379,Project Wolf Hunting,2022-09-21,"['Action', 'Thriller', 'Horror']",Korean,6.4,162.0,937.849,"While under heavily armed guard, the dangerous convicts aboard a cargo ship unite in a coordinated escape attempt that soon escalates into a bloody, all-out riot. But as the fugitives continue their brutal campaign of terror, they soon discover that not even the most vicious among them is safe from the horror they unknowingly unleashed from the darkness below deck.",9000000.0,"['The Contents On', 'Contents G', 'Cheum Film', 'Finecut']",0.0,122.0,A floating hell with no escape.
22,22,882569,Guy Ritchie's The Covenant,2023-04-19,"['War', 'Action', 'Thriller']",English,7.7,514.0,917.907,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",55000000.0,"['STX Films', 'Toff Guy Films']",17100000.0,123.0,A bond. A pledge. A commitment.
24,24,324857,Spider-Man: Into the Spider-Verse,2018-12-06,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.4,13081.0,914.969,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",90000000.0,"['Columbia Pictures', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Arad Productions']",375464627.0,117.0,More than one wears the mask.
25,25,594767,Shazam! Fury of the Gods,2023-03-15,"['Comedy', 'Action', 'Fantasy']",English,6.7,1931.0,829.516,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",125000000.0,"['New Line Cinema', 'The Safran Company', 'DC Films']",133437105.0,130.0,Oh. My. Gods.
26,26,677179,Creed III,2023-03-01,"['Drama', 'Action']",English,7.3,1563.0,778.998,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter who has nothing to lose.",75000000.0,"['Metro-Goldwyn-Mayer', 'Proximity Media', 'Balboa Productions', 'Outlier Society Productions', 'Chartoff-Winkler Productions']",269000000.0,116.0,You can't run from your past.
29,29,620705,Crater,2023-05-12,"['Science Fiction', 'Action', 'Adventure', 'Family']",English,6.7,156.0,690.726,"After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.",0.0,"['21 Laps Entertainment', 'Walt Disney Pictures']",0.0,104.0,"Miles from Earth, their adventure begins."
30,30,1070777,One Day as a Lion,2023-04-04,"['Action', 'Thriller', 'Crime']",English,5.9,22.0,664.335,"Jackie Powers will stop at nothing to prevent his son from following him into a life of crime. With his mob employer in pursuit, a chance encounter at a roadside diner charts a new path.",0.0,[],0.0,87.0,Every hitman deserves a second shot.
31,31,552688,The Mother,2023-05-04,"['Action', 'Thriller']",English,6.8,753.0,660.471,"A deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.",0.0,"['Vertigo Entertainment', 'Nuyorican Productions']",0.0,115.0,Vengeance is a mother!
32,32,315162,Puss in Boots: The Last Wish,2022-12-07,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy']",English,8.3,5713.0,640.924,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",90000000.0,"['DreamWorks Animation', 'Universal Pictures']",480000000.0,103.0,Say hola to his little friends.
33,33,1105803,Snag,2023-04-28,"['Action', 'Crime', 'Thriller']",English,5.9,32.0,621.873,"An Australian lone wolf's quiet existence is shattered when he learns that the woman he once loved and thought was dead is alive and held captive by ruthless gangsters. Now, to take on this dangerous criminal organization, he must seek out allies and storm into a world of violence to rescue the love of his life in this gritty, modern day violent fairytale.",0.0,[],0.0,87.0,Love hurts... now & then.
35,35,893712,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,2022-10-22,"['Animation', 'Action', 'Fantasy', 'Science Fiction']",Japanese,7.7,70.0,603.684,"Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together – the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the strings…",0.0,"['A-1 Pictures', 'EGG FIRM', 'Straight Edge', 'Aniplex', 'Sonilude']",0.0,100.0,You will definitely become stronger.
37,37,298618,The Flash,2023-06-13,"['Science Fiction', 'Action', 'Adventure']",English,6.6,24.0,573.476,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",190000000.0,"['Warner Bros. Pictures', 'Double Dream', 'The Disco Factory', 'DC Films']",0.0,144.0,Worlds collide.
38,38,976912,Graphic Desires,2022-08-15,['Thriller'],English,4.2,5.0,572.683,"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.",0.0,"['Paranoid Android Films', 'Proportion Productions', 'Mutiny Pictures', 'APL Film']",0.0,90.0,An erotic thriller for the Tinder generation.
39,39,934433,Scream VI,2023-03-08,"['Horror', 'Mystery', 'Thriller']",English,7.3,1354.0,556.578,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",35000000.0,"['Radio Silence', 'Project X Entertainment', 'Spyglass Media Group', 'Paramount']",168541093.0,123.0,New York. New rules.
40,40,868759,Ghosted,2023-04-18,"['Action', 'Comedy', 'Romance']",English,7.0,971.0,550.696,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",0.0,"['Skydance', 'Apple Studios']",0.0,120.0,Finding that special someone can be a real adventure.
42,42,420808,Peter Pan & Wendy,2023-04-20,"['Family', 'Fantasy', 'Action', 'Adventure']",English,5.8,431.0,521.977,"Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",0.0,"['Walt Disney Pictures', 'Whitaker Entertainment']",0.0,106.0,Escape to Neverland.
45,45,1074034,Ambush,2023-02-24,"['Action', 'War', 'Thriller']",English,6.3,12.0,476.462,"When a small outpost is ambushed, a US Army squad must take the battle below ground on a high-stakes mission in a new type of warfare the likes of which they have never seen.",0.0,[],0.0,104.0,The enemy is everywhere.
46,46,634649,Spider-Man: No Way Home,2021-12-15,"['Action', 'Adventure', 'Science Fiction']",English,8.0,17545.0,448.664,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",200000000.0,"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",1921847111.0,148.0,The Multiverse unleashed.
49,49,91314,Transformers: Age of Extinction,2014-06-25,"['Science Fiction', 'Action', 'Adventure']",English,5.9,7359.0,424.422,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",210000000.0,"['di Bonaventura Pictures', 'Tom DeSanto/Don Murphy Production', 'Ian Bryce Productions', 'Paramount']",1104054072.0,165.0,"This is not war, it's extinction."
50,50,505642,Black Panther: Wakanda Forever,2022-11-09,"['Action', 'Adventure', 'Science Fiction']",English,7.2,4978.0,422.445,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",250000000.0,['Marvel Studios'],859102154.0,162.0,Forever.
51,51,436270,Black Adam,2022-10-19,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",English,7.1,5044.0,420.68,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",200000000.0,"['New Line Cinema', 'Flynn Picture Company', 'DC Films', 'Seven Bucks Productions']",393252111.0,124.0,The world needed a hero. It got Black Adam.
52,52,916224,Suzume,2022-11-11,"['Animation', 'Drama', 'Adventure', 'Fantasy']",Japanese,7.9,429.0,414.942,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",0.0,"['CoMix Wave Films', 'Story', 'Lawson Entertainment', 'East Japan Marketing & Communications', 'voque ting', 'KADOKAWA', 'Aniplex', 'TOHO']",321092572.0,123.0,"On the other side of the door, was time in its entirety."
53,53,493529,Dungeons & Dragons: Honor Among Thieves,2023-03-23,"['Adventure', 'Fantasy', 'Comedy']",English,7.5,1661.0,409.568,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",151000000.0,"['Entertainment One', 'Paramount', 'Allspark Pictures', 'Sierra/Affinity']",208177026.0,134.0,No experience necessary.
54,54,977866,The Ghosts of Monday,2022-08-29,"['Horror', 'Thriller']",English,4.0,6.0,364.496,A group of US filmmakers travel to Cyprus to film a documentary in the tragically famous Hotel Gula - a once popular resort where more than 100 people died in mysterious circumstances. What begins as just another day at the office will eventually turn into a terrifying journey into the unknown.,0.0,['Altadium Group'],0.0,80.0,She is never alone.
56,56,638974,Murder Mystery 2,2023-03-28,"['Comedy', 'Crime']",English,6.6,1139.0,358.144,"After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",0.0,"['Happy Madison Productions', 'Echo Films', 'Vinson Films', 'Endgame Entertainment']",0.0,91.0,This mystery is deux or die.
57,57,1098160,The Tank,2023-04-21,"['Horror', 'Thriller']",English,4.9,27.0,350.237,"In 1978 Oregon, Ben and Jules inherit an abandoned coastal property from Ben's late mother, who's never mentioned it. The untouched house has been kept a secret for 40 years and comes with a beautiful private cove and beach. Jules searches for answers while Ben unwittingly awakens a fiercely protective creature.",0.0,"['Ajax Pictures Corp.', 'General Film Corporation', 'Happy Dog Entertainment']",0.0,100.0,Some families have secrets.
58,58,8869,Eight Legged Freaks,2002-07-17,"['Action', 'Comedy', 'Horror', 'Thriller']",English,5.7,1059.0,346.156,"The residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to mutate overnight to the size of SUVs. It's then up to mining engineer Chris McCormack and Sheriff Sam Parker to mobilize an eclectic group of townspeople, including the Sheriff's young son, Mike, her daughter, Ashley, and paranoid radio announcer Harlan, into battle against the bloodthirsty eight-legged beasts.",30000000.0,"['Centropolis Entertainment', 'Village Roadshow Pictures', 'NPV Entertainment', 'Electric Entertainment', 'Warner Bros. Pictures']",45867333.0,99.0,Do you hate spiders? Do you really hate spiders? Well they don't like you either.
59,59,977223,Polite Society,2023-04-27,"['Action', 'Adventure', 'Comedy']",English,6.6,51.0,336.231,"Martial artist-in-training Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.",0.0,"['Working Title Films', 'Parkville Pictures', 'Focus Features']",0.0,103.0,Big trouble. Little sister.
60,60,816904,Mummies,2023-01-05,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",Spanish,7.2,312.0,332.645,"Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",12300000.0,"['Warner Bros. Entertainment España', '4 Cats Pictures', 'Moomios Movie AIE', 'Anangu Grup SL', 'C.O.R.E. Feature Animation', 'Atresmedia']",34200000.0,88.0,Discover a new world.
62,62,1109207,Taz: Quest for Burger,2023-06-06,"['Comedy', 'Family', 'Animation', 'Adventure']",English,5.4,17.0,329.321,"After an outlaw abducts her father and steals her town’s food supply, a feisty adolescent bandicoot named Quinn recruits the Tasmanian Devil to help her find the thief. Taz may be an ill-tempered rogue with a fearsome reputation, but he and Quinn will have to work together to track the criminal through the wilds of Tasmania and save her community.",0.0,['Warner Bros. Animation'],0.0,75.0,He's the wonder from down under and now he has his very own film! Join Taz and Quinn as they go on an epic quest across Tasmania!
63,63,649609,Renfield,2023-04-07,"['Comedy', 'Horror', 'Fantasy']",English,6.8,634.0,328.349,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.",65000000.0,"['Skybound Entertainment', 'Universal Pictures', 'Giant Wildcat', 'dentsu']",24187819.0,93.0,Sucks to be him.
64,64,335988,Transformers: The Last Knight,2017-06-16,"['Action', 'Adventure', 'Science Fiction']",English,6.1,5548.0,327.288,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",217000000.0,"['Paramount', 'di Bonaventura Pictures', 'Ian Bryce Productions', 'Tom DeSanto/Don Murphy Production']",605425157.0,154.0,"For one world to live, the other must die."
65,65,1020696,Play Dead,2022-12-09,"['Horror', 'Thriller']",English,6.6,71.0,325.086,"Criminology student Chloe fakes her own death to break into a morgue, in order to retrieve a piece of evidence that ties her younger brother to a crime gone wrong. Once inside, she discovers that a sadistic coroner is using the corpses for his sick and twisted business, and when he realises that Chloe still has a pulse, a terrifying game of cat and mouse ensues.",0.0,[],356840.0,106.0,Some things are worse than death.
67,67,1094403,Malum,2023-03-31,['Horror'],English,6.1,26.0,323.894,A rookie police officer willingly takes the last shift at a newly decommissioned police station in an attempt to uncover the mysterious connection between her father's death and a vicious cult.,0.0,"['Welcome Villain Films', 'Skyra Entertainment']",0.0,92.0,Feed the demon.
68,68,736790,Chupa,2023-04-07,"['Adventure', 'Fantasy', 'Family']",English,6.5,254.0,323.763,"While visiting family in Mexico, a lonely boy befriends a mythical creature hiding on his grandfather's ranch and embarks on the adventure of a lifetime.",0.0,"['26th Street Pictures', 'Pimienta Films']",0.0,98.0,Discover the legend.
69,69,702621,Lullaby,2022-12-16,['Horror'],English,5.6,31.0,322.744,A new mother discovers a lullaby in an ancient book and soon regards the song as a blessing. But her world transforms into a nightmare when the lullaby brings forth the ancient demon Lilith.,20000000.0,"['Alcon Entertainment', 'Envision Media Arts', 'Heroes and Villains Entertainment', 'Wonderfilm Media']",0.0,86.0,Have you checked the baby?
70,70,804150,Cocaine Bear,2023-02-22,"['Thriller', 'Comedy', 'Crime']",English,6.3,1166.0,314.758,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",32500000.0,"['Universal Pictures', 'Brownstone Productions', 'Lord Miller']",89020092.0,96.0,Get in line.
76,76,536554,M3GAN,2022-12-28,"['Science Fiction', 'Horror']",English,7.3,2747.0,283.293,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",12000000.0,"['Atomic Monster', 'Blumhouse Productions', 'Divide / Conquer', 'Universal Pictures']",176830912.0,102.0,Friendship has evolved.
77,77,1033219,Attack on Titan,2022-09-30,"['Action', 'Science Fiction']",English,6.1,143.0,275.664,"As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.",0.0,"['The Asylum', 'Emerald City Films']",0.0,93.0,The battle for Earth has begun.
78,78,25565,Transformers: Beginnings,2006-10-16,"['Animation', 'Action', 'Thriller', 'Science Fiction']",English,6.9,239.0,266.642,"On their home planet of Cybertron, the Autobots and Decepticons are involved in an explosive battle over the coveted AllSpark. With the fate of the universe at stake, the Autobots send it far from the reaches of the ruthless Megatron, leader of the Decepticons. But there are even more surprises in store when it crash-lands on Earth.",0.0,['DreamWorks Home Entertainment'],0.0,22.0,See what happened before Optimus Prime and Megatron came to Earth.
80,80,980078,Winnie the Pooh: Blood and Honey,2023-01-27,"['Horror', 'Thriller']",English,5.7,638.0,263.92,"Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",100000.0,"['Jagged Edge Productions', 'ITN Studios']",5200000.0,84.0,This ain't no bedtime story.
81,81,646389,Plane,2023-01-12,"['Action', 'Adventure', 'Thriller']",English,6.9,1305.0,256.751,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",25000000.0,"['MadRiver Pictures', 'di Bonaventura Pictures', 'G-BASE', 'Olive Hill Media', 'Riverstone Pictures']",51000000.0,107.0,Survive together or die alone.
82,82,19995,Avatar,2009-12-15,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",English,7.6,29219.0,250.238,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",237000000.0,"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']",2923706026.0,162.0,Enter the world of Pandora.
83,83,976573,Elemental,2023-06-14,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",English,6.3,4.0,249.428,"In a city where fire, water, land, & air residents live together, a fiery young woman & a go-with-the-flow guy will discover something elemental: How much they have in common.",200000000.0,"['Walt Disney Pictures', 'Pixar']",0.0,102.0,Opposites react.
85,85,10144,The Little Mermaid,1989-11-17,"['Animation', 'Family', 'Fantasy']",English,7.4,7109.0,243.272,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,40000000.0,"['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Feature Animation']",211343479.0,83.0,Somewhere under the sea and beyond your imagination is an adventure in fantasy.
86,86,700391,65,2023-03-02,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",English,6.2,1205.0,242.493,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",45000000.0,"['Raimi Productions', 'Beck/Woods', 'Bron Studios', 'Columbia Pictures', 'TSG Entertainment', 'Creative Wealth Media Finance']",55000000.0,92.0,"65 million years ago, prehistoric Earth had a visitor."
87,87,985939,Fall,2022-08-11,['Thriller'],English,7.3,2932.0,235.862,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",3000000.0,"['Tea Shop Productions', 'Capstone Pictures', 'BuzzFeed Studios']",16120263.0,107.0,Fear reaches new heights.
